"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"2189","Gylfi Sigurdsson",2012,"12(21)",1221,4,0.8,13.1,80.6,0.5,0.3,0,6.53,"Tottenham","M(CLR),FW","tottenham-hotspur",7230000
"2190","Gylfi Sigurdsson",2013,"14(11)",1276,0,0.6,20.2,84.4,0.3,0.5,0,6.61,"Tottenham","M(CLR),FW","tottenham-hotspur",6800000
"2191","Gylfi Sigurdsson",2014,"32",2697,10,2.3,35.8,84.9,1.4,0.3,0.3,7.18,"Swansea","M(CLR),FW","swansea-city",6800000
"2192","Gylfi Sigurdsson",2015,"32(4)",2917,3,1.6,33.1,78.9,1.1,0.6,0.1,6.91,"Swansea","M(CLR),FW","swansea-city",9350000
"2193","Gylfi Sigurdsson",2016,"13(1)",1169,4,1.4,25.4,76.1,1.9,0.6,0.1,7.12,"Swansea","M(CLR),FW","swansea-city",14450000
"2194","Jonathan Walters",2010,"27(9)",2342,2,0.8,21.2,61.3,0.2,0.3,0.1,6.64,"Stoke","M(CLR),FW","stoke-city",1490000
"2195","Jonathan Walters",2011,"38",3336,5,0.9,24.5,67.6,0.3,0.3,0,6.61,"Stoke","M(CLR),FW","stoke-city",2550000
"2196","Jonathan Walters",2012,"38",3310,1,0.9,26.7,68.9,0.4,0.1,0.1,6.71,"Stoke","M(CLR),FW","stoke-city",4250000
"2197","Jonathan Walters",2013,"27(5)",2241,2,0.7,20.3,69.7,0.2,0.2,0,6.54,"Stoke","M(CLR),FW","stoke-city",4680000
"2198","Jonathan Walters",2014,"28(4)",2424,4,0.8,21.3,65.7,0.3,0.4,0,6.93,"Stoke","M(CLR),FW","stoke-city",3400000
"2199","Jonathan Walters",2015,"18(9)",1725,3,0.9,18.2,65.7,0.1,0.6,0.1,6.66,"Stoke","M(CLR),FW","stoke-city",2980000
"2200","Jonathan Walters",2016,"5(7)",569,1,0.3,11.2,54.5,0.2,0.1,0,6.47,"Stoke","M(CLR),FW","stoke-city",2980000
"2201","Kevin0Prince Boateng",2009,"20(2)",1847,2,1.8,33.9,79.5,0.5,1,0.5,7.08,"Portsmouth","M(CLR),FW",NA,NA
"2202","Nani",2009,"19(4)",1590,6,2.2,28.5,75.4,1.7,0.5,0.4,7.49,"Manchester United","M(CLR),FW","manchester-united",12750000
"2203","Nani",2010,"31(2)",2674,14,2.4,35.8,80.3,2.3,0.7,0.2,7.71,"Manchester United","M(CLR),FW","manchester-united",10630000
"2204","Nani",2011,"24(5)",2111,10,2.3,36.2,80.2,1.6,0.5,0.1,7.43,"Manchester United","M(CLR),FW","manchester-united",23800000
"2205","Nordin Amrabat",2016,"11(2)",973,2,1.3,23.2,72.8,0.9,0.8,0.1,6.83,"Watford","M(CLR),FW","watford-fc",3830000
"2206","Roberto Firmino",2015,"24(7)",1982,7,1.6,32.2,76.6,0.1,0.7,0.2,7.19,"Liverpool","M(CLR),FW","liverpool-fc",21250000
"2207","Roberto Firmino",2016,"13",1157,3,2.6,47,78.9,0.5,1,0.1,7.65,"Liverpool","M(CLR),FW","liverpool-fc",29750000
"2208","Wayne Routledge",2011,"17(11)",1463,4,0.7,24,79.2,0.3,0.4,0.2,6.46,"Swansea","M(CLR),FW","swansea-city",2550000
"2209","Wayne Routledge",2012,"30(6)",2528,4,1.6,32.7,80.3,0.5,1.5,0,6.65,"Swansea","M(CLR),FW","swansea-city",2980000
"2210","Wayne Routledge",2013,"32(3)",2707,4,1.3,32.8,80.6,0.6,1.4,0.1,6.71,"Swansea","M(CLR),FW","swansea-city",3830000
"2211","Wayne Routledge",2014,"27(2)",2318,1,1,26.3,77.2,0.5,0.9,0.2,6.64,"Swansea","M(CLR),FW","swansea-city",3830000
